Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers,Year
NYY,"3,063,405","37,820",30.1,27.9,103,102,0,3,18,"$193,229,350 ",3:03,28,18,64%,Girardi,2016
OAK,"1,521,506","18,784",28.7,27.9,96,97,0,1,5,"$54,969,067 ",2:56,34,22,64%,Melvin,2016
PHI,"1,915,144","23,644",26.9,26.3,99,100,0,1,4,"$84,846,666 ",3:03,46,26,56%,Mackanin,2016
PIT,"2,249,201","27,768",28.9,28.6,99,99,0,2,12,"$81,187,933 ",3:11,55,25,45%,Hurdle,2016
SDP,"2,351,422","29,030",28.1,28.1,95,95,0,2,11,"$50,656,166 ",3:06,57,27,47%,Green,2016
SEA,"2,267,928","27,999",30.5,28.8,96,96,0,1,6,"$137,169,100 ",3:02,37,22,59%,Servais,2016
SFG,"3,365,256","41,546",29.1,30,96,96,0,4,14,"$177,021,333 ",3:10,49,31,63%,Bochy,2016
STL,"3,444,490","42,525",28.5,28,98,97,0,2,12,"$150,353,500 ",3:01,54,28,51%,Matheny,2016
TBR,"1,286,163","15,879",27.7,26.9,95,95,0,1,7,"$48,223,791 ",3:01,49,29,59%,Cash,2016
TEX,"2,710,402","33,462",28.4,28.8,107,108,0,2,9,"$212,117,760 ",3:00,51,23,45%,Banister,2016
TOR,"3,392,099","41,878",30.1,29.8,102,101,0,5,15,"$182,690,767 ",3:00,49,19,38%,Gibbons,2016
WSN,"2,481,938","30,641",28.8,29.1,103,102,0,5,10,"$152,967,400 ",3:08,47,19,40%,Baker,2016
ARI,"2,080,145","25,681",26.6,27.1,105,105,0,2,8,"$64,434,000 ",3:10,34,21,61%,Hale,2015
ATL,"2,001,392","24,709",28.8,26.6,97,98,0,1,11,"$104,037,500 ",2:55,46,22,47%,Gonzalez,2015
BAL,"2,281,202","29,246",27.9,28.3,102,102,0,4,12,"$112,989,833 ",2:55,30,17,56%,Showalter,2015
BOS,"2,880,694","35,564",28.3,28.6,107,107,0,1,19,"$183,931,900 ",3:06,52,21,40%,Farrell,2015
CHC,"2,919,122","36,039",26.9,29.3,98,97,0,2,14,"$115,306,610 ",3:02,48,28,58%,Maddon,2015
CHW,"1,755,810","21,677",28.2,27.8,96,97,0,1,10,"$112,889,700 ",3:00,41,21,51%,Ventura,2015
CIN,"2,419,506","29,870",29.5,27.3,100,101,0,2,11,"$111,572,286 ",3:02,33,20,60%,Price,2015
CLE,"1,388,905","17,361",28,27.3,107,107,0,1,9,"$59,163,766 ",3:00,28,15,53%,Francona,2015
COL,"2,506,789","30,948",28,28.7,118,118,0,3,8,"$96,438,600 ",3:06,47,25,53%,Weiss,2015
DET,"2,726,048","33,655",28.3,28.7,99,99,0,4,14,"$172,284,750 ",3:09,27,11,40%,Ausmus,2015
HOU,"2,153,585","26,587",26.3,29.4,97,97,0,2,11,"$93,256,200 ",3:03,48,23,47%,Hinch,2015
KCR,"2,708,549","33,439",29.1,30,104,104,0,7,16,"$121,590,475 ",3:00,33,21,63%,Yost,2015
LAA,"3,012,765","37,195",28.7,28.3,94,94,0,3,10,"$131,522,500 ",3:00,40,24,60%,Scioscia,2015
LAD,"3,764,815","46,479",29.5,28.1,95,94,0,5,16,"$265,140,429 ",3:03,41,17,41%,Mattingly,2015
MIA,"1,752,235","21,633",27.9,27.3,96,97,0,2,10,"$71,231,500 ",2:51,31,19,61%,Redmond and Jennings,2015
MIL,"2,542,558","31,390",28.1,28.4,100,101,0,2,9,"$70,869,500 ",3:01,30,16,53%,Roenicke and Counsell,2015
MIN,"2,220,054","27,408",28.3,29.1,100,101,0,2,9,"$107,755,000 ",2:57,42,26,61%,Molitor,2015
NYM,"2,569,753","31,725",28.6,28.2,97,97,0,1,12,"$98,874,473 ",2:56,35,19,54%,Collins,2015
NYY,"3,193,795","39,430",31.4,27.4,101,101,0,3,15,"$214,051,957 ",3:08,30,22,73%,Girardi,2015
OAK,"1,768,175","21,829",27.9,27.8,97,97,0,2,11,"$64,016,001 ",3:01,29,15,51%,Melvin,2015
PHI,"1,831,080","22,606",28,28.5,97,98,0,1,10,"$103,082,167 ",2:58,38,24,63%,Sandberg and Mackanin,2015
PIT,"2,498,596","30,847",28.2,29.6,99,99,0,4,13,"$104,457,499 ",3:06,44,25,56%,Hurdle,2015
SDP,"2,459,752","30,367",27.6,29.1,95,95,0,1,8,"$125,203,700 ",3:01,43,19,44%,"Black, Roberts and Murphy",2015
SEA,"2,193,581","27,081",28.6,28.6,95,95,0,2,8,"$130,681,400 ",3:01,38,27,71%,McClendon,2015
SFG,"3,375,882","41,678",28.9,31.5,99,98,0,4,13,"$180,018,166 ",3:02,38,21,55%,Bochy,2015
STL,"3,520,889","43,468",28.4,28.2,101,100,0,6,14,"$128,241,500 ",2:59,31,16,51%,Matheny,2015
TBR,"1,287,054","15,322",28.5,26.7,96,97,0,2,8,"$64,571,233 ",2:59,54,17,31%,Cash,2015
TEX,"2,491,875","30,764",28.7,28.1,105,105,0,1,9,"$178,860,789 ",3:04,50,17,34%,Banister,2015
TOR,"2,794,891","34,505",29.6,29.2,103,102,0,3,17,"$117,917,400 ",2:53,45,20,44%,Gibbons,2015
WSN,"2,619,843","32,344",28.4,28.6,102,101,0,2,12,"$176,496,372 ",2:54,29,12,41%,Williams,2015
ARI,"2,073,730","25,602",27.6,28,102,102,0,2,13,"$89,926,500 ",3:03,37,19,51%,Gibson and Trammell,2014
ATL,"2,354,305","29,065",26.8,27.3,98,97,0,3,9,"$108,081,500 ",3:04,34,23,67%,Gonzalez,2014
BAL,"2,464,473","30,426",28.3,27.7,103,103,0,3,15,"$109,097,500 ",3:07,28,14,50%,Showalter,2014
BOS,"2,956,089","36,495",29.2,29.9,104,104,0,2,21,"$134,628,929 ",3:17,34,19,55%,Farrell,2014
CHC,"2,652,113","32,742",26.8,28,102,103,0,3,6,"$59,800,500 ",3:12,57,25,43%,Renteria,2014
CHW,"1,650,821","20,381",27.7,27.4,97,98,0,3,7,"$87,475,500 ",3:08,36,17,47%,Ventura,2014
CIN,"2,476,664","30,576",29,28,100,100,0,5,11,"$102,230,000 ",3:03,27,12,44%,Price,2014
CLE,"1,437,393","17,746",28.6,27.2,103,102,0,1,10,"$73,509,399 ",3:12,33,17,51%,Francona,2014
COL,"2,680,329","33,090",27.4,28.5,116,116,0,2,9,"$95,403,500 ",3:12,37,14,37%,Weiss,2014
DET,"2,917,209","36,015",29.8,28.5,101,101,0,4,15,"$169,135,500 ",3:14,39,23,58%,Ausmus,2014
HOU,"1,751,829","21,628",25.4,27.9,100,101,0,1,5,"$44,736,800 ",3:10,31,19,61%,Porter and Lawless,2014
